Id,Type,Title,LibraryId,VizClass,IsExtensionMissing,IsMasterVisualization,Name,SheetName,SheetId,CalcTime,BookmarkApplied,NumOfColumns,NumOfRows,UseCount,CalcConditionUnfulfilled,QsdaVersion,MetaId
f70ad8f0-fc9e-4fe8-8a76-c2af0175041e,pivot-table,='$(vOpsScorecardActor) Output Scorecard Summary',910095c2-13b4-4e3a-a33f-a88242c8f246,Native,False,True,pivot-table / ='$(vOpsScorecardActor) Output Scorecard Summary' (f70ad8f0-fc9e-4fe8-8a76-c2af0175041e),<Master Library>,,1.7,,3,21,0,False,3.4.5,8948
a50b485b-0cc4-4ffa-8a40-6e2e3edea613,table,='$(vOpsScorecardActor) Output Scorecard',4327daef-777a-410a-824e-5af4a9f46d69,Native,False,True,table / ='$(vOpsScorecardActor) Output Scorecard' (a50b485b-0cc4-4ffa-8a40-6e2e3edea613),<Master Library>,,1.402,,22,8,0,False,3.4.5,8949
fbauUhG,container,Operation Scorecard: Chart Container,012d2f3a-7b01-4c1c-ad8f-3360d88c5ed5,Native,False,True,container / Operation Scorecard: Chart Container (fbauUhG),Operation Scorecard,3c65849c-a82a-4180-85b3-febe540f3e81,0.002,,0,0,1,False,3.4.5,8950
LuPpBur,qlik-variable-input,Choose Short Term Comparison Date Range,a5df6a1b-d67f-4296-a68c-b807d324c435,Extension,False,True,qlik-variable-input / Choose Short Term Comparison Date Range (LuPpBur),Operation Scorecard,3c65849c-a82a-4180-85b3-febe540f3e81,0,,0,0,1,False,3.4.5,8951
1d2da243-ad99-4da7-8cdd-0ea75cd75b22,sn-text,TopTiering Story,4859bf27-f3c3-44d6-9b76-93d083af7cac,Extension,False,True,sn-text / TopTiering Story (1d2da243-ad99-4da7-8cdd-0ea75cd75b22),<Master Library>,,2.746,,10,1,0,False,3.4.5,8952
1d1f84b8-250b-4666-831a-ae2a643fa48b,sn-text,TopTiering Applied Weights,dc06596d-d57b-42cd-94e7-b90a5c9e3c63,Extension,False,True,sn-text / TopTiering Applied Weights (1d1f84b8-250b-4666-831a-ae2a643fa48b),<Master Library>,,0.002,,3,1,0,False,3.4.5,8953
daFAe,container,Operation Scorecard: TopTiering Info,42539012-a673-4298-a9e7-e53c3c8f369b,Native,False,True,container / Operation Scorecard: TopTiering Info (daFAe),Operation Scorecard,3c65849c-a82a-4180-85b3-febe540f3e81,0.001,,0,0,1,False,3.4.5,8954
BmpWy,CustomSheetMenu,,,Extension,True,False,CustomSheetMenu / [no title] (BmpWy),Operation Scorecard,3c65849c-a82a-4180-85b3-febe540f3e81,0,,0,0,1,False,3.4.5,8955
9a9618d8-ee0f-4d2f-8eff-fdf5e8a69984,qlik-variable-input,Choose Scorecard Actor,f65e2994-e284-4c0f-9f5e-9582a21c92e1,Extension,False,True,qlik-variable-input / Choose Scorecard Actor (9a9618d8-ee0f-4d2f-8eff-fdf5e8a69984),Sales Scorecard,476fa677-4840-4007-8954-4d6ce5c472bf,0,,0,0,1,False,3.4.5,8956
faba13aa-4e26-4043-851b-40136c67a07c,table,=Upper('$(vChannelGroup)')&': Scorecard Detail',95500fb4-fa41-4f23-8346-877164550682,Native,False,True,table / =Upper('$(vChannelGroup)')&': Scorecard Detail' (faba13aa-4e26-4043-851b-40136c67a07c),<Master Library>,,4.123,,25,61,0,False,3.4.5,8957
3315c6b7-c506-4b88-a947-965f7b18b7fa,pivot-table,=Upper('$(vChannelGroup)')&': Scorecard Summary',86fe7521-875b-4e1b-a1c2-586068f515c4,Native,False,True,pivot-table / =Upper('$(vChannelGroup)')&': Scorecard Summary' (3315c6b7-c506-4b88-a947-965f7b18b7fa),<Master Library>,,8.914,,3,35,0,False,3.4.5,8958
067718b9-ee44-4bf0-8292-7a1c34dde964,container,Sales Scorecard: Chart Container,be847bc4-3b28-4fe2-82a0-88e350a928c8,Native,False,True,container / Sales Scorecard: Chart Container (067718b9-ee44-4bf0-8292-7a1c34dde964),Sales Scorecard,476fa677-4840-4007-8954-4d6ce5c472bf,0.003,,0,0,1,False,3.4.5,8959
cPbhLRH,qlik-variable-input,Choose Short Term Comparison Date Range,0ba683bf-9867-4d7c-933a-c1c63f611aff,Extension,False,True,qlik-variable-input / Choose Short Term Comparison Date Range (cPbhLRH),Sales Scorecard,476fa677-4840-4007-8954-4d6ce5c472bf,0,,0,0,1,False,3.4.5,8960
c6def5e1-de3e-4425-ae2e-3f4262a0494b,sn-text,TopTiering Applied Weights,4710b85c-83e3-422b-82a1-ef7ca81d3205,Extension,False,True,sn-text / TopTiering Applied Weights (c6def5e1-de3e-4425-ae2e-3f4262a0494b),<Master Library>,,0.005,,6,1,0,False,3.4.5,8961
ac828a8b-7709-439c-8b8f-510d9a801f00,sn-text,TopTiering Story,1fd337d4-8fd2-4c18-b0d5-3e076a3bd334,Extension,False,True,sn-text / TopTiering Story (ac828a8b-7709-439c-8b8f-510d9a801f00),<Master Library>,,9.221,,9,1,0,False,3.4.5,8962
qNdFQ,container,Sales Scorecard: TopTiering Info,7b626395-0e7e-4d40-be7b-b57ad7eb892d,Native,False,True,container / Sales Scorecard: TopTiering Info (qNdFQ),Sales Scorecard,476fa677-4840-4007-8954-4d6ce5c472bf,0.001,,0,0,1,False,3.4.5,8963
ukjnh,CustomSheetMenu,,,Extension,True,False,CustomSheetMenu / [no title] (ukjnh),Sales Scorecard,476fa677-4840-4007-8954-4d6ce5c472bf,0,,0,0,1,False,3.4.5,8964
04556587-3bca-4831-9197-f02ce04d93e5,pivot-table,Sales Trends: LO/Branch Pivot,e8e6cf58-e2ec-431b-8003-8b6d734d4a47,Native,False,True,pivot-table / Sales Trends: LO/Branch Pivot (04556587-3bca-4831-9197-f02ce04d93e5),<Master Library>,,0.866,,332,70,0,False,3.4.5,8965
1c191293-3782-47f0-8254-a211a74569c9,pivot-table,Sales Trends: YearMonth Pivot,fe7b2c21-bd69-4ef4-850a-53288e55c98d,Native,False,True,pivot-table / Sales Trends: YearMonth Pivot (1c191293-3782-47f0-8254-a211a74569c9),<Master Library>,,0.836,,629,37,0,False,3.4.5,8966
UXDpvS,sn-tabbed-container,Sales Trends: Container,5e7e6375-6a3e-4d52-a209-9df9c952f43b,Native,False,True,sn-tabbed-container / Sales Trends: Container (UXDpvS),Sales Trends,58b57188-4641-4d9d-b40e-7b22fc8cecc6,0.003,,0,0,1,False,3.4.5,8967
TMDYyTp,CustomSheetMenu,,,Extension,True,False,CustomSheetMenu / [no title] (TMDYyTp),Sales Trends,58b57188-4641-4d9d-b40e-7b22fc8cecc6,0,,0,0,1,False,3.4.5,8968
fmLYpEQ,table,'Average $(vMeasure) Closed by Funding Month',,Native,False,False,table / 'Average $(vMeasure) Closed by Funding Month' (fmLYpEQ),Sales Trends,58b57188-4641-4d9d-b40e-7b22fc8cecc6,0.067,,3,37,1,False,3.4.5,8969
4dd9a17e-4d7d-430a-9149-ca51978b6e68,qlik-variable-input,=chr(32),4c92ce90-84ab-4888-8a23-0a3f2b52197a,Extension,False,True,qlik-variable-input / =chr(32) (4dd9a17e-4d7d-430a-9149-ca51978b6e68),Geography,83e0ca73-adb3-4c36-968f-a150fb3c005f,0,,0,0,1,False,3.4.5,8970
1a9671b8-4ad2-4e57-9435-5fa6a0a4feaf,kpi,Geography: Volume KPI,a01c9cf9-4941-48d8-b637-a19defe62ffd,Native,False,True,kpi / Geography: Volume KPI (1a9671b8-4ad2-4e57-9435-5fa6a0a4feaf),Geography,83e0ca73-adb3-4c36-968f-a150fb3c005f,0.008,,1,1,1,False,3.4.5,8971
205d73e9-1300-4a28-a73d-28c6569d2766,kpi,Geography: Units KPI,257240ec-2c46-41eb-8042-a9d6c6add657,Native,False,True,kpi / Geography: Units KPI (205d73e9-1300-4a28-a73d-28c6569d2766),Geography,83e0ca73-adb3-4c36-968f-a150fb3c005f,0.007,,1,1,1,False,3.4.5,8972
144ddf6e-69f9-448e-9f82-64af90a5560e,kpi,Geography: WA FICO KPI,7a4b8ddf-98c4-424d-a85c-7c3a117f81b9,Native,False,True,kpi / Geography: WA FICO KPI (144ddf6e-69f9-448e-9f82-64af90a5560e),Geography,83e0ca73-adb3-4c36-968f-a150fb3c005f,0.012,,1,1,1,False,3.4.5,8973
e7dbe2d5-b77a-476a-ae06-90afd564dcc6,kpi,Geography: WA LTV KPI,513fcfa7-c305-40d1-a0e9-6d333438c43b,Native,False,True,kpi / Geography: WA LTV KPI (e7dbe2d5-b77a-476a-ae06-90afd564dcc6),Geography,83e0ca73-adb3-4c36-968f-a150fb3c005f,0.011,,1,1,1,False,3.4.5,8974
22874e9e-3b61-4c20-8ddd-62a8b2386bfa,kpi,Geography: WA DTI KPI,6db3b808-2afb-476d-9261-ae1db5396010,Native,False,True,kpi / Geography: WA DTI KPI (22874e9e-3b61-4c20-8ddd-62a8b2386bfa),Geography,83e0ca73-adb3-4c36-968f-a150fb3c005f,0.008,,1,1,1,False,3.4.5,8975
6a0c8ca1-1c3b-4c38-9887-180830cbae0e,qlik-variable-input,=chr(32),04b86942-faef-4932-baef-93e0f66594d6,Extension,False,True,qlik-variable-input / =chr(32) (6a0c8ca1-1c3b-4c38-9887-180830cbae0e),<Master Library>,,0,,0,0,0,False,3.4.5,8976
9ccffa6c-6908-49b3-9691-938d62f4f052,qlik-variable-input,=chr(32),4c0b6fc4-5994-420a-acfb-0603259d1225,Extension,False,True,qlik-variable-input / =chr(32) (9ccffa6c-6908-49b3-9691-938d62f4f052),<Master Library>,,0,,0,0,0,False,3.4.5,8977
2ea35e27-47d6-4eb2-b949-eda15927ea91,qlik-variable-input,=chr(32),0615216f-5e2a-4831-8dab-f9402e41b91b,Extension,False,True,qlik-variable-input / =chr(32) (2ea35e27-47d6-4eb2-b949-eda15927ea91),<Master Library>,,0,,0,0,0,False,3.4.5,8978
b11be7ab-82f7-4737-833e-33a020090a48,container,Geography: Date Container,008f9d8c-5db8-4085-a83d-8189d3d2c1d1,Native,False,True,container / Geography: Date Container (b11be7ab-82f7-4737-833e-33a020090a48),Geography,83e0ca73-adb3-4c36-968f-a150fb3c005f,0,,0,0,1,False,3.4.5,8979
LJJat,kpi,Geography: WAC KPI,e294fcdb-7858-462e-b98a-e3f9461eb1a2,Native,False,True,kpi / Geography: WAC KPI (LJJat),Geography,83e0ca73-adb3-4c36-968f-a150fb3c005f,0.013,,1,1,1,False,3.4.5,8980
2cd0dddb-dd12-4a9e-9461-1110ce81ae6a,map,"=if('$(vProductionGroup)'='DateType={Application}','Applications Taken',
	if('$(vProductionGroup)'='DateType={Funding}','Funded Production',
    	'Lost Opportunities'
        )
	)
&

' in $(vToDateLabelTitle)'",64a1a760-c5b0-4fbd-8d05-396b6fe7e8e5,Native,False,True,"map / =if('$(vProductionGroup)'='DateType={Application}','Applications Taken',
	if('$(vProductionGroup)'='DateType={Funding}','Funded Production',
    	'Lost Opportunities'
        )
	)
&

' in $(vToDateLabelTitle)' (2cd0dddb-dd12-4a9e-9461-1110ce81ae6a)",<Master Library>,,0,,0,0,0,False,3.4.5,8981
bb8c8dcb-7c8c-4e17-a6e6-d690ec0ef062,table,"='$(vToDateLabelTitle) ' &

if('$(vProductionGroup)'='DateType={Application}','Applications Taken',
	if('$(vProductionGroup)'='DateType={Funding}','Funded Production',
    	'Lost Opportunities'
        )
	)",476e6b6d-2543-4423-a39d-4fcac3ca47b3,Native,False,True,"table / ='$(vToDateLabelTitle) ' &

if('$(vProductionGroup)'='DateType={Application}','Applications Taken',
	if('$(vProductionGroup)'='DateType={Funding}','Funded Production',
    	'Lost Opportunities'
        )
	) (bb8c8dcb-7c8c-4e17-a6e6-d690ec0ef062)",<Master Library>,,0.098,,9,16,0,False,3.4.5,8982
AyRQaQk,container,"=Pick(Match(vDateTypeSet,
	
	'DateType={Application}',
	'DateType={Funding}',
	'[Withdrawn Flag]={1}',
	'DateType={Started}'
	),
	
	'Applications Taken',
	'Funded Production',
	'Lost Opportunities',
	'All Loans'
	
)

&

' $(vToDateLabelTitle)'",21154519-94ef-4321-81cd-f7f0f5c6cd59,Native,False,True,"container / =Pick(Match(vDateTypeSet,
	
	'DateType={Application}',
	'DateType={Funding}',
	'[Withdrawn Flag]={1}',
	'DateType={Started}'
	),
	
	'Applications Taken',
	'Funded Production',
	'Lost Opportunities',
	'All Loans'
	
)

&

' $(vToDateLabelTitle)' (AyRQaQk)",Geography,83e0ca73-adb3-4c36-968f-a150fb3c005f,0.002,,0,0,1,False,3.4.5,8983
ZKAsKm,sn-text,Geography Story,034e421a-2960-4686-92ec-0caf3691943f,Extension,False,True,sn-text / Geography Story (ZKAsKm),Geography,83e0ca73-adb3-4c36-968f-a150fb3c005f,0.234,,9,1,1,False,3.4.5,8984
hEmYVM,CustomSheetMenu,,,Extension,True,False,CustomSheetMenu / [no title] (hEmYVM),Geography,83e0ca73-adb3-4c36-968f-a150fb3c005f,0,,0,0,1,False,3.4.5,8985
NFjuJm,QlikInfoModal,,,Extension,True,False,QlikInfoModal / [no title] (NFjuJm),Geography,83e0ca73-adb3-4c36-968f-a150fb3c005f,0,,0,0,1,False,3.4.5,8986
27ec3a96-db3d-45dc-85db-8931b8519ad9,qlik-variable-input,Choose Loan Started Year,2f8f2d77-6148-4521-83df-3bdfc6b26ac4,Extension,False,True,qlik-variable-input / Choose Loan Started Year (27ec3a96-db3d-45dc-85db-8931b8519ad9),"=if($(vYear)=$(vMaxYear),

'Company Performance Detail $(vToDateLabel)',

'Company Performance Detail | Loan Funnel for Loans Started in $(vYear) as of $(=vCurrentDateAsDate)'

)",9e40861a-280a-4315-a241-346e8393458e,0,,0,0,1,False,3.4.5,8987
d37ddd96-0880-40c1-9ac0-526b8290ceea,sn-text,Loan Funnel Story,e7ac67c7-f9e0-4c26-97c3-ab87368ba153,Extension,False,True,sn-text / Loan Funnel Story (d37ddd96-0880-40c1-9ac0-526b8290ceea),"=if($(vYear)=$(vMaxYear),

'Company Performance Detail $(vToDateLabel)',

'Company Performance Detail | Loan Funnel for Loans Started in $(vYear) as of $(=vCurrentDateAsDate)'

)",9e40861a-280a-4315-a241-346e8393458e,0.005,,10,1,1,False,3.4.5,8988
71af1d90-ed49-45c4-b49e-af9056d9e7b5,table,='$(vYear) Loans Started Waterfall',c0b6f304-96e7-4180-878f-12bf1bc88c23,Native,False,True,table / ='$(vYear) Loans Started Waterfall' (71af1d90-ed49-45c4-b49e-af9056d9e7b5),<Master Library>,,0.206,,7,9,0,False,3.4.5,8989
553aaeeb-48f4-4b7b-a1fe-6ff2a1e1b8ff,sn-text,Company Performance Detail: Applications Taken Story,987b447a-6d7c-469f-b363-2572721a2bbb,Extension,False,True,sn-text / Company Performance Detail: Applications Taken Story (553aaeeb-48f4-4b7b-a1fe-6ff2a1e1b8ff),<Master Library>,,0.121,,10,1,0,False,3.4.5,8990
AXpvhK,container,Company Performance Detail: Top Left Chart Container,7f315e3b-7b5c-4cbf-98f1-b2958d99312b,Native,False,True,container / Company Performance Detail: Top Left Chart Container (AXpvhK),"=if($(vYear)=$(vMaxYear),

'Company Performance Detail $(vToDateLabel)',

'Company Performance Detail | Loan Funnel for Loans Started in $(vYear) as of $(=vCurrentDateAsDate)'

)",9e40861a-280a-4315-a241-346e8393458e,0.001,,0,0,1,False,3.4.5,8991
0ca37cf5-9468-4d02-bd99-76eb72c5075b,table,='Loan Funnel $(vYear)',a3299ca9-263d-41cf-827f-c3d374f47092,Native,False,True,table / ='Loan Funnel $(vYear)' (0ca37cf5-9468-4d02-bd99-76eb72c5075b),<Master Library>,,0.108,,5,9,0,False,3.4.5,8992
c909c0f8-7c98-49e1-8153-edf743266723,sn-text,Company Performance Detail: Funded Production Units Story,580612db-9c62-476b-bdde-6335c4c0da30,Extension,False,True,sn-text / Company Performance Detail: Funded Production Units Story (c909c0f8-7c98-49e1-8153-edf743266723),<Master Library>,,0.094,,10,1,0,False,3.4.5,8993
Knfh,container,Company Performance Detail: Top Right Chart Container,4fccbe18-df52-48e7-a086-d4b9b544b17b,Native,False,True,container / Company Performance Detail: Top Right Chart Container (Knfh),"=if($(vYear)=$(vMaxYear),

'Company Performance Detail $(vToDateLabel)',

'Company Performance Detail | Loan Funnel for Loans Started in $(vYear) as of $(=vCurrentDateAsDate)'

)",9e40861a-280a-4315-a241-346e8393458e,0.001,,0,0,1,False,3.4.5,8994
9c1d7cb7-b4d0-42c7-861f-b742b997a481,table,='$(vYear) Loans Started Waterfall: Fee Leakage',037bd527-cc78-4f15-ad2a-0d21e9893941,Native,False,True,table / ='$(vYear) Loans Started Waterfall: Fee Leakage' (9c1d7cb7-b4d0-42c7-861f-b742b997a481),<Master Library>,,0.194,,9,8,0,False,3.4.5,8995
b9d680f1-ca6d-44bc-8ac5-5ae5de7eb7be,sn-text,Company Performance Detail: Funded Revenue Story,10cfa9aa-6fbb-4885-966d-113a80e9182a,Extension,False,True,sn-text / Company Performance Detail: Funded Revenue Story (b9d680f1-ca6d-44bc-8ac5-5ae5de7eb7be),<Master Library>,,0.131,,10,1,0,False,3.4.5,8996
SKEFXV,container,Company Performance Detail: Bottom Left Chart Container,bd1a7031-95a1-430f-a5c7-dde1651f83d2,Native,False,True,container / Company Performance Detail: Bottom Left Chart Container (SKEFXV),"=if($(vYear)=$(vMaxYear),

'Company Performance Detail $(vToDateLabel)',

'Company Performance Detail | Loan Funnel for Loans Started in $(vYear) as of $(=vCurrentDateAsDate)'

)",9e40861a-280a-4315-a241-346e8393458e,0.002,,0,0,1,False,3.4.5,8997
1777d551-0708-4bce-a27f-a1e8133de7fd,barchart,='How deep in the Loan Funnel did the Lost Opportunities go?',faf4cd2d-244f-45f1-b5ea-2d9f1abe436d,Native,False,True,barchart / ='How deep in the Loan Funnel did the Lost Opportunities go?' (1777d551-0708-4bce-a27f-a1e8133de7fd),<Master Library>,,0.032,,0,46,0,False,3.4.5,8998
c0b6ec0c-a8a8-4b02-9e38-4774efdf4177,sn-text,Company Performance Detail: Lost Opportunity Units,7e3866e0-16a7-46e1-bfd0-6bfa3906f747,Extension,False,True,sn-text / Company Performance Detail: Lost Opportunity Units (c0b6ec0c-a8a8-4b02-9e38-4774efdf4177),<Master Library>,,0.151,,10,1,0,False,3.4.5,8999
AksmGG,container,Company Performance Detail: Bottom Right Chart Container,0993e6ec-457a-4473-84a9-6f84dff5eee2,Native,False,True,container / Company Performance Detail: Bottom Right Chart Container (AksmGG),"=if($(vYear)=$(vMaxYear),

'Company Performance Detail $(vToDateLabel)',

'Company Performance Detail | Loan Funnel for Loans Started in $(vYear) as of $(=vCurrentDateAsDate)'

)",9e40861a-280a-4315-a241-346e8393458e,0.002,,0,0,1,False,3.4.5,9000
mXjyJ,CustomSheetMenu,,,Extension,True,False,CustomSheetMenu / [no title] (mXjyJ),"=if($(vYear)=$(vMaxYear),

'Company Performance Detail $(vToDateLabel)',

'Company Performance Detail | Loan Funnel for Loans Started in $(vYear) as of $(=vCurrentDateAsDate)'

)",9e40861a-280a-4315-a241-346e8393458e,0,,0,0,1,False,3.4.5,9001
